T (K) rhol (kg/m3) rhov (kg/m3) P (bar)
380.0	440.953582897	82.1641674826	38.3748384476
370.0	472.652030441	62.6871904127	31.6197364253
360.0	498.354267605	48.6543992502	25.8562739057
350.0	520.155997468	38.1406448127	20.9745690467
340.0	539.416715533	29.8991160137	16.7390769974
330.0	556.63617416	23.3261832031	13.2015930389
320.0	572.116774023	18.0092269645	10.0982610855
310.0	587.583647412	13.7663672883	7.83390769544
300.0	603.30492768	10.346910917	5.7466708457
290.0	617.943562017	7.65386466524	4.26073694584
